时间,,万科未来城一区低压出口_10k压力量产一批0043#压力值(KPa)
2026/1/16,23:50:34,2.46
2026/1/16,23:40:33,2.65
2026/1/16,23:30:32,2.65
2026/1/16,23:20:31,2.66
2026/1/16,23:10:30,2.52
2026/1/16,23:00:29,2.48
2026/1/16,22:50:28,2.53
2026/1/16,22:40:27,2.57
2026/1/16,22:30:26,2.5
2026/1/16,22:20:25,2.43
2026/1/16,22:10:24,2.52
2026/1/16,22:00:23,2.55
2026/1/16,21:50:22,2.58
2026/1/16,21:40:21,2.58
2026/1/16,21:30:20,2.43
2026/1/16,21:20:19,2.44
2026/1/16,21:10:18,2.53
2026/1/16,21:00:17,2.43
2026/1/16,20:50:16,2.5
2026/1/16,20:40:15,2.41
2026/1/16,20:30:14,2.36
2026/1/16,20:20:13,2.38
2026/1/16,20:10:12,2.39
2026/1/16,20:00:11,2.48
2026/1/16,19:50:10,2.4
2026/1/16,19:40:09,2.44
2026/1/16,19:30:08,2.26
2026/1/16,19:20:07,2.38
2026/1/16,19:11:06,2.35
2026/1/16,19:01:05,2.2
2026/1/16,18:51:04,2.21
2026/1/16,18:41:03,2.2
2026/1/16,18:31:02,2.19
2026/1/16,18:21:01,2.25
2026/1/16,18:11:00,2.22
2026/1/16,18:00:59,2.13
2026/1/16,17:50:58,2.1
2026/1/16,17:40:57,2.15
2026/1/16,17:30:56,2.15
2026/1/16,17:20:55,2.1
2026/1/16,17:10:54,2.1
2026/1/16,17:00:53,2.16
2026/1/16,16:50:52,2.24
2026/1/16,16:40:51,2.22
2026/1/16,16:30:50,2.28
2026/1/16,16:20:49,2.36
2026/1/16,16:10:48,2.35
2026/1/16,16:00:47,2.3
2026/1/16,15:50:46,2.37
2026/1/16,15:40:45,2.36
2026/1/16,15:30:44,2.42
2026/1/16,15:20:43,2.25
2026/1/16,15:10:42,2.46
2026/1/16,15:00:41,2.42
2026/1/16,14:50:40,2.33
2026/1/16,14:40:39,2.21
2026/1/16,14:30:38,2.46
2026/1/16,14:20:37,2.51
2026/1/16,14:10:36,2.46
2026/1/16,14:00:35,2.5
2026/1/16,13:50:34,2.49
2026/1/16,13:40:33,2.37
2026/1/16,13:30:32,2.38
2026/1/16,13:20:31,2.33
2026/1/16,13:10:30,2.38
2026/1/16,13:00:29,2.34
2026/1/16,12:50:28,2.28
2026/1/16,12:40:27,2.33
2026/1/16,12:30:26,2.22
2026/1/16,12:20:25,2.17
2026/1/16,12:10:24,2.22
2026/1/16,12:00:23,2.26
2026/1/16,11:50:22,2.11
2026/1/16,11:40:21,2.14
2026/1/16,11:30:20,2.16
2026/1/16,11:20:19,2.26
2026/1/16,11:10:18,2.2
2026/1/16,11:00:17,2.29
2026/1/16,10:50:16,2.32
2026/1/16,10:40:15,2.37
2026/1/16,10:30:14,2.23
2026/1/16,10:20:13,2.29
2026/1/16,10:10:12,2.28
2026/1/16,10:00:11,2.37
2026/1/16,9:50:10,2.29
2026/1/16,9:40:09,2.37
2026/1/16,9:30:08,2.34
2026/1/16,9:20:07,2.33
2026/1/16,9:11:06,2.35
2026/1/16,9:01:05,2.45
2026/1/16,8:51:04,2.17
2026/1/16,8:41:03,2.41
2026/1/16,8:31:02,2.3
2026/1/16,8:21:01,2.28
2026/1/16,8:11:00,2.3
2026/1/16,8:00:59,2.34
2026/1/16,7:50:58,2.26
2026/1/16,7:40:57,2.28
2026/1/16,7:30:56,2.28
2026/1/16,7:20:55,2.21
2026/1/16,7:10:54,2.22
2026/1/16,7:00:53,2.14
2026/1/16,6:50:52,2.31
2026/1/16,6:40:51,2.25
2026/1/16,6:30:50,2.24
2026/1/16,6:20:49,2.31
2026/1/16,6:10:48,2.31
2026/1/16,6:00:47,2.47
2026/1/16,5:50:46,2.38
2026/1/16,5:40:45,2.45
2026/1/16,5:30:44,2.65
2026/1/16,5:20:43,2.48
2026/1/16,5:10:42,2.49
2026/1/16,5:00:41,2.59
2026/1/16,4:50:40,2.61
2026/1/16,4:40:39,2.57
2026/1/16,4:30:38,2.65
2026/1/16,4:20:37,2.62
2026/1/16,4:10:36,2.58
2026/1/16,4:00:35,2.55
2026/1/16,3:50:34,2.6
2026/1/16,3:40:33,2.61
2026/1/16,3:30:32,2.6
2026/1/16,3:20:31,2.61
2026/1/16,3:10:30,2.61
2026/1/16,3:00:29,2.61
2026/1/16,2:50:28,2.6
2026/1/16,2:40:27,2.6
2026/1/16,2:30:26,2.59
2026/1/16,2:20:25,2.6
2026/1/16,2:10:24,2.6
2026/1/16,2:00:23,2.6
2026/1/16,1:50:22,2.6
2026/1/16,1:40:21,2.52
2026/1/16,1:30:20,2.57
2026/1/16,1:20:19,2.54
2026/1/16,1:10:18,2.54
2026/1/16,1:00:17,2.52
2026/1/16,0:50:16,2.66
2026/1/16,0:40:15,2.67
2026/1/16,0:30:14,2.5
2026/1/16,0:20:13,2.67
2026/1/16,0:10:12,2.67
2026/1/16,0:00:11,2.67
2026/1/15,23:50:10,2.67
2026/1/15,23:40:09,2.61
2026/1/15,23:30:08,2.48
2026/1/15,23:20:07,2.54
2026/1/15,23:11:06,2.59
2026/1/15,23:01:05,2.58
2026/1/15,22:51:04,2.63
2026/1/15,22:41:03,2.45
2026/1/15,22:31:02,2.54
2026/1/15,22:21:01,2.56
2026/1/15,22:11:00,2.45
2026/1/15,22:00:59,2.51
2026/1/15,21:50:58,2.51
2026/1/15,21:40:57,2.56
2026/1/15,21:30:56,2.45
2026/1/15,21:20:55,2.47
2026/1/15,21:10:54,2.52
2026/1/15,21:00:53,2.4
2026/1/15,20:50:52,2.42
2026/1/15,20:40:51,2.45
2026/1/15,20:30:50,2.43
2026/1/15,20:20:49,2.3
2026/1/15,20:10:48,2.38
2026/1/15,20:00:47,2.48
2026/1/15,19:50:46,2.31
2026/1/15,19:40:45,2.39
2026/1/15,19:30:44,2.29
2026/1/15,19:20:43,2.36
2026/1/15,19:10:42,2.31
2026/1/15,19:00:41,2.28
2026/1/15,18:50:40,2.25
2026/1/15,18:40:39,2.15
2026/1/15,18:30:38,2.2
2026/1/15,18:20:37,2.21
2026/1/15,18:10:36,2.26
2026/1/15,18:00:35,2.2
2026/1/15,17:50:34,2.14
2026/1/15,17:40:33,2.16
2026/1/15,17:30:32,2.07
2026/1/15,17:20:31,2.14
2026/1/15,17:10:30,2.17
2026/1/15,17:00:29,2.16
2026/1/15,16:50:28,2.15
2026/1/15,16:40:27,2.31
2026/1/15,16:30:26,2.19
2026/1/15,16:20:25,2.4
2026/1/15,16:10:24,2.36
2026/1/15,16:00:23,2.39
2026/1/15,15:50:22,2.44
2026/1/15,15:40:21,2.48
2026/1/15,15:30:20,2.42
2026/1/15,15:20:19,2.41
2026/1/15,15:10:18,2.43
2026/1/15,15:00:17,2.51
2026/1/15,14:50:16,2.21
2026/1/15,14:40:15,2.28
2026/1/15,14:30:14,2.38
2026/1/15,14:20:13,2.48
2026/1/15,14:10:12,2.39
2026/1/15,14:00:11,2.38
2026/1/15,13:50:10,2.42
2026/1/15,13:40:09,2.38
2026/1/15,13:30:08,2.41
2026/1/15,13:20:07,2.39
2026/1/15,13:11:06,2.36
2026/1/15,13:01:05,2.33
2026/1/15,12:51:04,2.26
2026/1/15,12:41:03,2.36
2026/1/15,12:31:02,2.33
2026/1/15,12:21:01,2.26
2026/1/15,12:11:00,2.3
2026/1/15,12:00:59,2.23
2026/1/15,11:50:58,2.19
2026/1/15,11:40:57,2.13
2026/1/15,11:30:56,2.12
2026/1/15,11:20:55,2.12
2026/1/15,11:10:54,2.22
2026/1/15,11:00:53,2.17
2026/1/15,10:50:52,2.23
2026/1/15,10:40:51,2.37
2026/1/15,10:30:50,2.25
2026/1/15,10:20:49,2.14
