时间,,在水一方C区低压出口_10k压力量产一批0030#压力值(KPa)
2026/1/16,23:50:30,2.75
2026/1/16,23:40:29,2.84
2026/1/16,23:30:28,2.71
2026/1/16,23:20:27,2.81
2026/1/16,23:10:26,2.8
2026/1/16,23:00:25,2.76
2026/1/16,22:50:24,2.71
2026/1/16,22:40:23,2.79
2026/1/16,22:30:22,2.76
2026/1/16,22:20:21,2.7
2026/1/16,22:10:20,2.67
2026/1/16,22:00:19,2.58
2026/1/16,21:50:18,2.7
2026/1/16,21:40:17,2.67
2026/1/16,21:30:16,2.62
2026/1/16,21:20:15,2.63
2026/1/16,21:10:14,2.59
2026/1/16,21:00:13,2.57
2026/1/16,20:50:12,2.56
2026/1/16,20:40:11,2.67
2026/1/16,20:30:10,2.58
2026/1/16,20:20:09,2.63
2026/1/16,20:10:08,2.56
2026/1/16,20:00:07,2.6
2026/1/16,19:50:06,2.53
2026/1/16,19:40:05,2.5
2026/1/16,19:30:04,2.54
2026/1/16,19:20:03,2.49
2026/1/16,19:11:02,2.47
2026/1/16,19:01:01,2.41
2026/1/16,18:51:00,2.45
2026/1/16,18:40:59,2.44
2026/1/16,18:30:58,2.36
2026/1/16,18:20:57,2.44
2026/1/16,18:10:56,2.44
2026/1/16,18:00:55,2.4
2026/1/16,17:50:54,2.44
2026/1/16,17:40:53,2.42
2026/1/16,17:30:52,2.39
2026/1/16,17:20:51,2.44
2026/1/16,17:10:50,2.45
2026/1/16,17:00:49,2.42
2026/1/16,16:50:48,2.47
2026/1/16,16:40:47,2.49
2026/1/16,16:30:46,2.45
2026/1/16,16:20:45,2.53
2026/1/16,16:10:44,2.51
2026/1/16,16:00:43,2.57
2026/1/16,15:50:42,2.61
2026/1/16,15:40:41,2.53
2026/1/16,15:30:40,2.6
2026/1/16,15:20:39,2.6
2026/1/16,15:10:38,2.62
2026/1/16,15:00:37,2.66
2026/1/16,14:50:36,2.62
2026/1/16,14:40:35,2.65
2026/1/16,14:30:34,2.67
2026/1/16,14:20:33,2.63
2026/1/16,14:10:32,2.57
2026/1/16,14:00:31,2.58
2026/1/16,13:50:30,2.58
2026/1/16,13:40:29,2.63
2026/1/16,13:30:28,2.66
2026/1/16,13:20:27,2.53
2026/1/16,13:10:26,2.53
2026/1/16,13:00:25,2.58
2026/1/16,12:50:24,2.5
2026/1/16,12:40:23,2.41
2026/1/16,12:30:22,2.41
2026/1/16,12:20:21,2.45
2026/1/16,12:10:20,2.44
2026/1/16,12:00:19,2.43
2026/1/16,11:50:18,2.4
2026/1/16,11:40:17,2.4
2026/1/16,11:30:16,2.39
2026/1/16,11:20:15,2.42
2026/1/16,11:10:14,2.39
2026/1/16,11:00:13,2.41
2026/1/16,10:50:12,2.41
2026/1/16,10:40:11,2.45
2026/1/16,10:30:10,2.44
2026/1/16,10:20:09,2.47
2026/1/16,10:10:08,2.53
2026/1/16,10:00:07,2.53
2026/1/16,9:50:06,2.49
2026/1/16,9:40:05,2.49
2026/1/16,9:30:04,2.58
2026/1/16,9:20:03,2.57
2026/1/16,9:11:02,2.5
2026/1/16,9:01:01,2.54
2026/1/16,8:51:00,2.56
2026/1/16,8:40:59,2.46
2026/1/16,8:30:58,2.42
2026/1/16,8:20:57,2.52
