时间,,岸上澜湾T1低压出口_10k压力量产一批0026#压力值(KPa)
2026/1/16,23:50:00,2.92
2026/1/16,23:50:00,2.92
2026/1/16,23:40:00,2.88
2026/1/16,23:40:00,2.87
2026/1/16,23:30:00,2.92
2026/1/16,23:30:00,2.92
2026/1/16,23:20:00,2.89
2026/1/16,23:10:00,2.76
2026/1/16,23:00:00,2.92
2026/1/16,23:00:00,2.92
2026/1/16,22:50:00,2.87
2026/1/16,22:50:00,2.87
2026/1/16,22:40:00,2.8
2026/1/16,22:40:00,2.8
2026/1/16,22:30:00,2.79
2026/1/16,22:20:00,2.78
2026/1/16,22:11:00,2.81
2026/1/16,22:01:00,2.86
2026/1/16,21:51:00,2.49
2026/1/16,21:41:00,2.84
2026/1/16,21:31:00,2.77
2026/1/16,21:21:00,2.62
2026/1/16,21:11:00,2.5
2026/1/16,21:00:00,2.86
2026/1/16,20:50:00,2.8
2026/1/16,20:40:00,2.75
2026/1/16,20:30:00,2.58
2026/1/16,20:20:00,2.59
2026/1/16,20:10:00,2.68
2026/1/16,20:00:00,2.56
2026/1/16,19:50:00,2.78
2026/1/16,19:40:00,2.64
2026/1/16,19:30:00,2.7
2026/1/16,19:20:00,2.69
2026/1/16,19:10:00,2.53
2026/1/16,19:00:00,2.45
2026/1/16,18:50:00,2.48
2026/1/16,18:40:00,2.37
2026/1/16,18:30:00,2.53
2026/1/16,18:20:00,2.61
2026/1/16,18:10:00,2.56
2026/1/16,18:00:00,2.49
2026/1/16,17:50:00,2.45
2026/1/16,17:40:00,2.41
2026/1/16,17:30:00,2.47
2026/1/16,17:20:00,2.33
2026/1/16,17:10:00,2.29
2026/1/16,17:00:00,2.36
2026/1/16,16:50:00,2.46
2026/1/16,16:40:00,2.41
2026/1/16,16:30:00,2.56
2026/1/16,16:20:00,2.71
2026/1/16,16:10:00,2.52
2026/1/16,16:00:00,2.64
2026/1/16,15:50:00,2.76
2026/1/16,15:40:00,2.62
2026/1/16,15:30:00,2.67
2026/1/16,15:20:00,2.78
2026/1/16,15:10:00,2.54
2026/1/16,15:00:00,2.59
2026/1/16,14:50:00,2.66
2026/1/16,14:40:00,2.77
2026/1/16,14:30:00,2.85
2026/1/16,14:20:00,2.65
2026/1/16,14:10:00,2.72
2026/1/16,14:00:00,2.91
2026/1/16,14:00:00,2.91
2026/1/16,13:50:00,2.6
2026/1/16,13:40:00,2.64
2026/1/16,13:30:00,2.83
2026/1/16,13:20:00,2.53
2026/1/16,13:10:00,2.85
2026/1/16,13:00:00,2.65
2026/1/16,12:50:00,2.73
2026/1/16,12:40:00,2.64
