时间,,金港玉湾二区低压出口_10k压力量产一批0039#压力值(KPa)
2026/1/16,23:50:35,2.29
2026/1/16,23:40:34,2.28
2026/1/16,23:30:33,2.37
2026/1/16,23:20:32,2.27
2026/1/16,23:10:31,2.32
2026/1/16,23:00:30,2.24
2026/1/16,22:50:29,2.25
2026/1/16,22:40:28,2.26
2026/1/16,22:30:27,2.22
2026/1/16,22:20:26,2.23
2026/1/16,22:10:25,2.25
2026/1/16,22:00:24,2.23
2026/1/16,21:50:23,2.21
2026/1/16,21:40:22,2.22
2026/1/16,21:30:21,2.23
2026/1/16,21:20:20,2.22
2026/1/16,21:10:19,2.21
2026/1/16,21:00:18,2.2
2026/1/16,20:50:17,2.24
2026/1/16,20:40:16,2.21
2026/1/16,20:30:15,2.21
2026/1/16,20:20:14,2.23
2026/1/16,20:10:13,2.24
2026/1/16,20:00:12,2.23
2026/1/16,19:50:11,2.23
2026/1/16,19:40:10,2.25
2026/1/16,19:30:09,2.22
2026/1/16,19:20:08,2.23
2026/1/16,19:10:07,2.23
2026/1/16,19:00:06,2.22
2026/1/16,18:50:05,2.21
2026/1/16,18:40:04,2.21
2026/1/16,18:30:03,2.2
2026/1/16,18:20:02,2.22
2026/1/16,18:11:01,2.2
2026/1/16,18:01:00,2.22
2026/1/16,17:50:59,2.2
2026/1/16,17:40:58,2.2
2026/1/16,17:30:57,2.2
2026/1/16,17:20:56,2.21
2026/1/16,17:10:55,2.21
2026/1/16,17:00:54,2.22
2026/1/16,16:50:53,2.23
2026/1/16,16:40:52,2.22
2026/1/16,16:30:51,2.25
2026/1/16,16:20:50,2.25
2026/1/16,16:10:49,2.24
2026/1/16,16:00:48,2.27
2026/1/16,15:50:47,2.24
2026/1/16,15:40:46,2.33
2026/1/16,15:30:45,2.26
2026/1/16,15:20:44,2.24
2026/1/16,15:10:43,2.29
2026/1/16,15:00:42,2.28
2026/1/16,14:50:41,2.42
2026/1/16,14:40:40,2.34
2026/1/16,14:30:39,2.26
2026/1/16,14:20:38,2.29
2026/1/16,14:10:37,2.31
2026/1/16,14:00:36,2.27
2026/1/16,13:50:35,2.29
2026/1/16,13:40:34,2.27
2026/1/16,13:30:33,2.25
2026/1/16,13:20:32,2.3
2026/1/16,13:10:31,2.29
2026/1/16,13:00:30,2.23
2026/1/16,12:50:29,2.24
2026/1/16,12:40:28,2.21
2026/1/16,12:30:27,2.23
2026/1/16,12:20:26,2.21
2026/1/16,12:10:25,2.19
2026/1/16,12:00:24,2.19
2026/1/16,11:50:23,2.19
2026/1/16,11:40:22,2.19
2026/1/16,11:30:21,2.19
2026/1/16,11:20:20,2.21
2026/1/16,11:10:19,2.22
2026/1/16,11:00:18,2.23
2026/1/16,10:50:17,2.21
2026/1/16,10:40:16,2.23
2026/1/16,10:30:15,2.24
2026/1/16,10:20:14,2.22
2026/1/16,10:10:13,2.24
2026/1/16,10:00:12,2.23
2026/1/16,9:50:11,2.24
2026/1/16,9:40:10,2.23
2026/1/16,9:30:09,2.25
2026/1/16,9:20:08,2.24
2026/1/16,9:10:07,2.24
2026/1/16,9:00:06,2.24
2026/1/16,8:50:05,2.23
2026/1/16,8:40:04,2.23
2026/1/16,8:30:03,2.23
2026/1/16,8:20:02,2.23
2026/1/16,8:11:01,2.22
2026/1/16,8:01:00,2.23
2026/1/16,7:50:59,2.23
2026/1/16,7:40:58,2.23
2026/1/16,7:30:57,2.22
2026/1/16,7:20:56,2.22
2026/1/16,7:10:55,2.19
2026/1/16,7:00:54,2.21
2026/1/16,6:50:53,2.22
2026/1/16,6:40:52,2.21
2026/1/16,6:30:51,2.23
2026/1/16,6:20:50,2.25
2026/1/16,6:10:49,2.32
2026/1/16,6:00:48,2.3
2026/1/16,5:50:47,2.41
2026/1/16,5:40:46,2.44
2026/1/16,5:30:45,2.49
2026/1/16,5:20:44,2.47
2026/1/16,5:10:43,2.42
2026/1/16,5:00:42,2.69
2026/1/16,4:50:41,2.7
2026/1/16,4:40:40,2.68
2026/1/16,4:30:39,2.52
2026/1/16,4:20:38,2.5
2026/1/16,4:10:37,2.59
2026/1/16,4:00:36,2.7
2026/1/16,3:50:35,2.59
2026/1/16,3:40:34,2.53
2026/1/16,3:30:33,2.7
2026/1/16,3:20:32,2.56
2026/1/16,3:10:31,2.68
2026/1/16,3:00:30,2.5
2026/1/16,2:50:29,2.49
2026/1/16,2:40:28,2.41
2026/1/16,2:30:27,2.47
2026/1/16,2:20:26,2.7
2026/1/16,2:10:25,2.49
2026/1/16,2:00:24,2.42
2026/1/16,1:50:23,2.47
2026/1/16,1:40:22,2.43
2026/1/16,1:30:21,2.44
2026/1/16,1:20:20,2.38
2026/1/16,1:10:19,2.47
2026/1/16,1:00:18,2.43
2026/1/16,0:50:17,2.35
2026/1/16,0:40:16,2.51
2026/1/16,0:30:15,2.3
2026/1/16,0:20:14,2.42
2026/1/16,0:10:13,2.35
2026/1/16,0:00:12,2.45
2026/1/15,23:50:11,2.37
2026/1/15,23:40:10,2.38
2026/1/15,23:30:09,2.41
2026/1/15,23:20:08,2.34
2026/1/15,23:10:07,2.43
2026/1/15,23:00:06,2.37
2026/1/15,22:50:05,2.28
2026/1/15,22:40:04,2.23
2026/1/15,22:30:03,2.24
2026/1/15,22:20:02,2.23
2026/1/15,22:11:01,2.22
2026/1/15,22:01:00,2.24
2026/1/15,21:50:59,2.22
2026/1/15,21:40:58,2.23
2026/1/15,21:30:57,2.22
2026/1/15,21:20:56,2.22
2026/1/15,21:10:55,2.23
2026/1/15,21:00:54,2.23
2026/1/15,20:50:53,2.21
2026/1/15,20:40:52,2.21
2026/1/15,20:30:51,2.23
2026/1/15,20:20:50,2.23
2026/1/15,20:10:49,2.23
2026/1/15,20:00:48,2.22
2026/1/15,19:50:47,2.25
2026/1/15,19:40:46,2.24
2026/1/15,19:30:45,2.22
2026/1/15,19:20:44,2.21
2026/1/15,19:10:43,2.22
2026/1/15,19:00:42,2.22
2026/1/15,18:50:41,2.23
2026/1/15,18:40:40,2.23
2026/1/15,18:30:39,2.19
2026/1/15,18:20:38,2.21
2026/1/15,18:10:37,2.22
2026/1/15,18:00:36,2.22
2026/1/15,17:50:35,2.21
2026/1/15,17:40:34,2.19
2026/1/15,17:30:33,2.21
2026/1/15,17:20:32,2.2
2026/1/15,17:10:31,2.21
2026/1/15,17:00:30,2.2
2026/1/15,16:50:29,2.24
2026/1/15,16:40:28,2.23
2026/1/15,16:30:27,2.23
2026/1/15,16:20:26,2.24
2026/1/15,16:10:25,2.24
2026/1/15,16:00:24,2.24
2026/1/15,15:50:23,2.33
2026/1/15,15:40:22,2.24
2026/1/15,15:30:21,2.25
2026/1/15,15:20:20,2.25
